"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.037337900E-2,-7.887700200E-2,1.898200065E-2,-5.117179751E-1,5.181092393E-1
5.546643500E-2,-1.033999957E-3,3.358700126E-2,5.142679811E-1,5.153646400E-1
6.047682000E-2,1.675800048E-2,6.623899937E-2,4.409739971E-1,4.462359261E-1
6.548728100E-2,1.017170027E-1,3.730199859E-2,4.066910148E-1,4.208745291E-1
7.049751300E-2,6.619399786E-2,4.038000014E-3,4.340049922E-1,4.390424627E-1
7.550789600E-2,-6.543400139E-2,4.825700074E-2,3.798190057E-1,3.884235108E-1
8.051811900E-2,-1.585929990E-1,8.013399690E-2,2.608200014E-1,3.155951044E-1
8.552857800E-2,-6.718900055E-2,1.266399957E-2,2.400649935E-1,2.496115778E-1
9.053898000E-2,-3.887699917E-2,3.994699940E-2,2.553200126E-1,2.613340633E-1
9.554921100E-2,-9.438499808E-2,1.709589958E-1,2.404769957E-1,3.097816837E-1
1.005596070E-1,-1.876080036E-1,1.558690071E-1,2.214380056E-1,3.294339095E-1
1.055700690E-1,-1.361539960E-1,9.640999883E-2,1.550330073E-1,2.277455419E-1
1.105803050E-1,-9.866099805E-2,1.118760034E-1,2.279799990E-2,1.508972547E-1
1.155906880E-1,-1.010579988E-1,2.538199909E-2,-2.508400008E-2,1.071735605E-1
1.206009360E-1,-1.646029949E-1,5.500900000E-2,2.135900036E-2,1.748609245E-1
1.256113950E-1,-9.863000363E-2,5.991499871E-2,4.357999936E-2,1.233568037E-1
1.306217720E-1,-8.661100268E-2,-1.252499968E-1,-1.601999998E-2,1.531197828E-1
1.356322320E-1,-6.123099849E-2,2.992800064E-2,-7.987400144E-2,1.049989357E-1
1.406423870E-1,-6.804700196E-2,1.532050073E-1,-2.252960056E-1,2.808210442E-1
1.456528470E-1,-8.073899895E-2,2.005950063E-1,-2.276470065E-1,3.139750023E-1
1.506630800E-1,-5.968099833E-2,2.494090050E-1,-2.108860016E-1,3.320234616E-1
1.556735250E-1,6.592199951E-2,9.127099812E-2,-3.016589880E-1,3.219848601E-1
1.606839120E-1,-1.441099960E-2,1.319710016E-1,-2.974120080E-1,3.256960619E-1
1.656941620E-1,-1.066599973E-2,5.177899823E-2,-3.766309917E-1,3.803231943E-1
1.707045440E-1,6.810999941E-3,-6.115000229E-3,-4.627059996E-1,4.627965266E-1
1.757150250E-1,-4.424799979E-2,2.393800020E-2,-4.801349938E-1,4.827634261E-1
1.807252580E-1,-9.518100321E-2,1.114199962E-2,-4.817790091E-1,4.912174479E-1
1.857356300E-1,-1.183030009E-1,-1.129699964E-2,-4.289239943E-1,4.450831553E-1
1.907458630E-1,1.606000005E-3,-1.422909945E-1,-3.466480076E-1,3.747187579E-1
1.957563330E-1,7.017499954E-2,-1.668380052E-1,-2.684569955E-1,3.237724648E-1
2.007667190E-1,5.810000002E-4,-8.527799696E-2,-2.756249905E-1,2.885165675E-1
2.057769300E-1,-1.337690055E-1,4.635999911E-3,-3.666320145E-1,3.903007474E-1
2.107873130E-1,-1.923300028E-1,1.130549982E-1,-5.392510295E-1,5.835785598E-1
2.157977740E-1,7.226300240E-2,-2.890300006E-2,-6.035429835E-1,6.085404324E-1
2.208080070E-1,1.665209979E-1,-1.085029989E-1,-4.018380046E-1,4.483033855E-1
2.258184000E-1,1.163169965E-1,-1.206580028E-1,-2.594240010E-1,3.088507886E-1
2.308286320E-1,-2.713800035E-2,2.397200093E-2,-3.425790071E-1,3.444873061E-1
2.358390920E-1,-1.765650064E-1,1.182700023E-1,-3.353700042E-1,3.970340472E-1
2.408494790E-1,-2.404250056E-1,1.961310059E-1,-2.515290082E-1,3.994225791E-1
2.458597230E-1,-2.906070054E-1,1.965630054E-1,-2.044329941E-1,4.060570105E-1
2.508701060E-1,-2.430869937E-1,8.938899636E-2,-1.148580015E-1,2.833267366E-1
2.558805540E-1,-3.018510044E-1,1.820970029E-1,-1.238550022E-1,3.736487774E-1
2.608907860E-1,-2.719449997E-1,1.327529997E-1,-1.919829994E-1,3.583781716E-1
2.659011490E-1,-1.571869999E-1,8.934800327E-2,-2.374999970E-1,2.984913185E-1
2.709113820E-1,-1.097550020E-1,1.242399961E-2,-2.897019982E-1,3.100447774E-1
2.759218410E-1,8.948899806E-2,-2.509869933E-1,-2.456540018E-1,3.624205295E-1
2.809322190E-1,3.232900053E-2,-1.940979958E-1,-1.568920016E-1,2.516630613E-1
2.859424500E-1,-7.232999802E-2,-3.142499924E-2,-1.986629963E-1,2.137431760E-1
2.909528320E-1,-2.555800043E-2,4.422200099E-2,-3.025119901E-1,3.067935803E-1
2.959632940E-1,8.184999973E-2,4.518799856E-2,-5.658299848E-2,1.092840948E-1
3.009735220E-1,6.109099835E-2,5.224000197E-3,4.429320097E-1,4.471556390E-1
3.059839810E-1,3.089000005E-3,1.461379975E-1,4.435500130E-2,1.527521600E-1
3.109941470E-1,-6.425800174E-2,6.290099770E-2,-2.949469984E-1,3.083494092E-1
3.160046070E-1,-2.269500047E-1,6.699199975E-2,-2.510080040E-1,3.449626802E-1
3.210149910E-1,4.341699928E-2,2.439679950E-1,-9.249500185E-2,2.645009335E-1
3.260254530E-1,3.616499901E-2,2.043740004E-1,-2.258660048E-1,3.067443420E-1
3.310356860E-1,-2.860130072E-1,1.121160015E-1,-2.406900004E-2,3.081440488E-1
3.360460630E-1,-4.541049898E-1,3.669680059E-1,1.197400019E-1,5.959987644E-1
3.410562960E-1,-3.825370073E-1,3.603349924E-1,-2.326149940E-1,5.747047974E-1
3.460667560E-1,-3.163259923E-1,3.135519922E-1,-2.500329912E-1,5.107773310E-1
3.510771420E-1,-2.349220067E-1,2.891120017E-1,-2.100549936E-1,4.276648210E-1
3.560873730E-1,-2.491019964E-1,3.361850083E-1,-9.458500147E-2,4.289737602E-1
3.610977560E-1,-2.365979999E-1,5.154910088E-1,-5.723100156E-2,5.700745401E-1
3.661079930E-1,-4.234769940E-1,7.606719732E-1,-3.089520037E-1,9.237997380E-1
3.711184530E-1,-5.971919894E-1,9.325360060E-1,-4.710820019E-1,1.203403476E0
3.761288400E-1,-6.691499949E-1,7.971739769E-1,-2.206809968E-1,1.063930528E0
3.811390890E-1,-7.300850153E-1,6.333680153E-1,5.573099852E-2,9.681348649E-1
3.861495490E-1,-6.466680169E-1,7.109630108E-1,5.709100142E-2,9.627602553E-1
3.911599450E-1,-2.848590016E-1,5.962420106E-1,-4.232000094E-3,6.608079114E-1
3.961701750E-1,-1.979500055E-2,4.189929962E-1,1.597650051E-1,4.488561348E-1
4.011806350E-1,-1.635449976E-1,2.458360046E-1,-9.862100333E-2,3.113011559E-1
4.061910220E-1,-6.550899744E-1,2.266900055E-2,-1.360199973E-2,6.556231940E-1
4.112012570E-1,-4.343389869E-1,1.444710046E-1,9.062999859E-3,4.578256924E-1
4.162116400E-1,-1.127030030E-1,2.516449988E-1,3.337100148E-2,2.777423195E-1
4.212218830E-1,1.817680001E-1,5.381760001E-1,2.931750119E-1,6.392375150E-1
