"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.207753900E-2,1.769322038E0,-2.998099923E-1,3.270236015E0,3.730258718E0
5.708769200E-2,1.058557987E0,-8.734700084E-2,3.396584034E0,3.558785974E0
6.209784600E-2,4.993110001E-1,1.313969940E-1,3.629904985E0,3.666440624E0
6.710800000E-2,6.597999949E-3,4.138390124E-1,3.838746071E0,3.860994387E0
7.211816900E-2,-3.180260062E-1,6.187869906E-1,3.961103916E0,4.021738693E0
7.712832300E-2,-4.490019977E-1,7.866280079E-1,3.998303890E0,4.099612227E0
8.213847700E-2,-4.361410141E-1,8.496090174E-1,4.022212982E0,4.134035769E0
8.714861600E-2,-3.870320022E-1,1.026664019E0,4.129978180E0,4.273236776E0
9.215854100E-2,-1.950290054E-1,1.128118992E0,4.045691013E0,4.204557592E0
9.716870200E-2,1.457300037E-2,1.067549944E0,3.795608044E0,3.942907008E0
1.021788550E-1,3.063260019E-1,9.583380222E-1,3.423671961E0,3.568441828E0
1.071890240E-1,5.664740205E-1,8.255119920E-1,3.022994041E0,3.184471045E0
1.121991780E-1,7.963399887E-1,6.687610149E-1,2.679285049E0,2.874015840E0
1.172093170E-1,9.682540298E-1,5.302960277E-1,2.295929909E0,2.547552529E0
1.222194710E-1,1.053997993E0,4.219090044E-1,1.820469022E0,2.145466485E0
1.272296200E-1,1.161888003E0,3.566710055E-1,1.370715022E0,1.831954587E0
1.322396990E-1,1.152083039E0,3.020209968E-1,1.031185031E0,1.575390294E0
1.372498510E-1,1.070528030E0,2.462390065E-1,7.055060267E-1,1.305527735E0
1.422600280E-1,9.650859833E-1,1.409569979E-1,2.662610114E-1,1.011016694E0
1.472701820E-1,8.417980075E-1,4.386699945E-2,-7.175400108E-2,8.459886735E-1
1.522803310E-1,7.185159922E-1,-7.092399895E-2,-3.142940104E-1,7.874491537E-1
1.572904850E-1,5.802090168E-1,-1.509930044E-1,-4.819569886E-1,7.692359387E-1
1.623006440E-1,3.816500008E-1,-2.103849947E-1,-5.967540145E-1,7.389410822E-1
1.673107980E-1,1.778620034E-1,-2.607190013E-1,-7.075099945E-1,7.747126449E-1
1.723209420E-1,-1.236400008E-2,-2.659119964E-1,-7.812079787E-1,8.253168872E-1
1.773310960E-1,-1.786359996E-1,-2.477169931E-1,-7.288420200E-1,7.902437720E-1
1.823412070E-1,-2.505919933E-1,-2.555100024E-1,-6.801339984E-1,7.685466571E-1
1.873513610E-1,-2.735309899E-1,-2.209639996E-1,-5.676379800E-1,6.677253686E-1
1.923615050E-1,-2.783130109E-1,-1.879040003E-1,-4.884099960E-1,5.927144081E-1
