"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.922277000E-2,6.497432190E1,2.571220550E1,NaN,NaN,NaN,NaN,0.000000000E0,7.447459717E2,0.000000000E0,-1.000000000E0
4.922277000E-2,6.497432190E1,2.571220550E1,NaN,NaN,NaN,NaN,0.000000000E0,7.447459717E2,0.000000000E0,-1.000000000E0
4.922277000E-2,6.497432190E1,2.571220550E1,NaN,NaN,NaN,NaN,1.131576882E0,7.447459717E2,0.000000000E0,-1.000000000E0
1.226513239E0,6.498116500E1,2.569440000E1,4.689702874E1,6.440000000E1,3.236573219E0,1.291699982E2,1.132082343E0,6.500000000E0,6.800000000E1,2.400000000E1
1.726513239E0,6.498116667E1,2.569441000E1,4.319702905E1,6.070000000E1,3.511435032E0,1.318300018E2,1.135200547E0,2.400000095E0,1.069999981E1,2.600000000E1
2.226513239E0,6.498115333E1,2.569446833E1,4.049700826E1,5.800000000E1,3.590702295E0,1.289600067E2,1.139155779E0,1.899999976E0,9.500000000E0,2.700000000E1
2.890513239E0,6.498111833E1,2.569448333E1,3.799697195E1,5.550000000E1,3.587613821E0,1.321699982E2,1.141626682E0,1.899999976E0,1.039999962E1,3.000000000E1
3.390513239E0,6.498109667E1,2.569449500E1,3.699694915E1,5.450000000E1,3.537685871E0,1.324199982E2,1.145557899E0,1.799999952E0,1.060000038E1,3.100000000E1
4.390513239E0,6.498106833E1,2.569454500E1,3.599691475E1,5.350000000E1,3.508346558E0,1.290099945E2,1.150757812E0,1.700000048E0,1.119999981E1,3.500000000E1
5.890513239E0,6.498103333E1,2.569461833E1,3.509687072E1,5.260000000E1,3.360621452E0,1.280599976E2,1.154642661E0,1.700000048E0,1.260000038E1,3.400000000E1
6.890513239E0,6.498100500E1,2.569466667E1,3.459683654E1,5.210000000E1,3.393563509E0,1.303699951E2,1.158526325E0,1.700000048E0,1.060000038E1,3.500000000E1
7.890513239E0,6.498097833E1,2.569472000E1,3.369680333E1,5.120000000E1,3.511949778E0,1.293099976E2,1.162431821E0,1.600000024E0,1.010000038E1,3.500000000E1
8.890513239E0,6.498095333E1,2.569477833E1,3.289677109E1,5.040000000E1,3.586584330E0,1.217699966E2,1.165966523E0,1.600000024E0,1.019999981E1,3.500000000E1
9.890513239E0,6.498093167E1,2.569483333E1,3.229674256E1,4.980000000E1,3.501140594E0,1.281900024E2,1.169746641E0,1.600000024E0,9.899999619E0,3.500000000E1
1.089051324E1,6.498091167E1,2.569489833E1,3.209671435E1,4.960000000E1,3.434226751E0,1.216200027E2,1.173552197E0,1.500000000E0,9.899999619E0,3.500000000E1
1.189051324E1,6.498089333E1,2.569496667E1,3.179668733E1,4.930000000E1,3.593790531E0,1.205899963E2,1.177357755E0,1.500000000E0,9.600000381E0,3.600000000E1
1.289051324E1,6.498087500E1,2.569503500E1,3.169666031E1,4.920000000E1,3.896961927E0,1.254899979E2,1.181229725E0,1.799999952E0,1.039999962E1,3.600000000E1
1.389051324E1,6.498085667E1,2.569510500E1,3.159663306E1,4.910000000E1,3.642174482E0,1.267600021E2,1.185183620E0,1.899999976E0,1.130000019E1,3.600000000E1
1.489051324E1,6.498083500E1,2.569517167E1,3.159660299E1,4.910000000E1,3.909830093E0,1.283500061E2,1.187141141E0,2.099999905E0,1.250000000E1,3.700000000E1
1.539051324E1,6.498082667E1,2.569520833E1,3.159658996E1,4.910000000E1,3.748207331E0,1.192600021E2,1.189018048E0,2.200000048E0,1.339999962E1,3.600000000E1
1.589051324E1,6.498082000E1,2.569524500E1,3.149657858E1,4.900000000E1,4.005568504E0,1.210899963E2,1.191175671E0,2.200000048E0,1.430000019E1,3.600000000E1
1.639051324E1,6.498080667E1,2.569527833E1,3.129656108E1,4.880000000E1,4.172852993E0,1.312899933E2,1.192979987E0,2.299999952E0,1.460000038E1,3.500000000E1
1.689051324E1,6.498079500E1,2.569530500E1,3.109654611E1,4.860000000E1,3.790929079E0,1.344600067E2,1.196450160E0,2.200000048E0,1.489999962E1,3.500000000E1
1.789051324E1,6.498076833E1,2.569534333E1,3.039651487E1,4.790000000E1,3.475919247E0,1.510399933E2,1.200915188E0,2.299999952E0,1.500000000E1,3.700000000E1
1.889051324E1,6.498072833E1,2.569535167E1,2.979647452E1,4.730000000E1,3.858357668E0,1.819600067E2,1.205040269E0,2.299999952E0,1.539999962E1,3.700000000E1
1.989051324E1,6.498069167E1,2.569533833E1,2.919644030E1,4.670000000E1,3.778575897E0,1.886900024E2,1.209083824E0,2.299999952E0,1.569999981E1,3.600000000E1
2.089051324E1,6.498065667E1,2.569531500E1,2.899640904E1,4.650000000E1,3.748207331E0,1.984499969E2,1.213022542E0,2.299999952E0,1.610000038E1,3.500000000E1
2.189051324E1,6.498062333E1,2.569528667E1,2.879638008E1,4.630000000E1,3.738427401E0,2.022700043E2,1.216862080E0,2.299999952E0,1.519999981E1,3.400000000E1
2.289051324E1,6.498059500E1,2.569524000E1,2.879635845E1,4.630000000E1,3.696220160E0,2.106300049E2,1.220817887E0,2.299999952E0,1.510000038E1,3.600000000E1
2.389051324E1,6.498056333E1,2.569520167E1,2.929633245E1,4.680000000E1,3.738427401E0,2.177700043E2,1.224966976E0,2.000000000E0,1.439999962E1,3.600000000E1
2.489051324E1,6.498053167E1,2.569515500E1,2.889630755E1,4.640000000E1,3.715265036E0,2.163800049E2,1.227683044E0,1.799999952E0,1.500000000E1,3.500000000E1
2.589051324E1,6.498051000E1,2.569512833E1,2.869628982E1,4.620000000E1,3.661733866E0,2.120000000E2,1.231153227E0,2.000000000E0,1.439999962E1,3.500000000E1
2.689051324E1,6.498048333E1,2.569509000E1,2.829626873E1,4.580000000E1,3.589158058E0,2.163899994E2,1.233940679E0,2.200000048E0,1.500000000E1,3.500000000E1
2.789051324E1,6.498046000E1,2.569506833E1,2.769624870E1,4.520000000E1,3.533053398E0,2.085299988E2,1.237055967E0,2.200000048E0,1.589999962E1,3.500000000E1
2.889051324E1,6.498043667E1,2.569503167E1,2.719623066E1,4.470000000E1,3.470257282E0,2.082400055E2,1.240889514E0,2.299999952E0,1.700000000E1,3.400000000E1
2.989051324E1,6.498041000E1,2.569498000E1,2.599621133E1,4.350000000E1,3.474375010E0,2.142799988E2,1.244004804E0,2.000000000E0,1.660000038E1,3.400000000E1
3.089051324E1,6.498038667E1,2.569494333E1,2.589619329E1,4.340000000E1,3.411064148E0,2.108399963E2,1.246576399E0,2.099999905E0,1.800000000E1,3.500000000E1
3.189051324E1,6.498036833E1,2.569491000E1,2.559617971E1,4.310000000E1,3.280324697E0,2.139400024E2,1.249329537E0,2.200000048E0,1.700000000E1,3.500000000E1
3.289051324E1,6.498034667E1,2.569488167E1,2.469616221E1,4.220000000E1,3.163482666E0,2.103300018E2,1.252927492E0,1.899999976E0,1.139999962E1,3.500000000E1
3.389051324E1,6.498032000E1,2.569483833E1,2.439614178E1,4.190000000E1,2.986932993E0,2.094400024E2,1.255719408E0,1.799999952E0,1.030000019E1,3.600000000E1
